"";"Group";"Level";"Type";"mean";"median";"0%";"25%";"50%";"75%";"90%";"95%";"99%";"100%";"max";"IQR"
"1";"Total";"Total";"nonICU";12,5370845564839;8;0;4;8;15;27;38;67;348;348;11
"2";"Total";"Total";"ICU";24,3060951105157;18;0;11;18;30,25;51;66;112;216;216;19,25
"3";"Region";"Alentejo";"nonICU";10,3540445486518;7;0;4;7;13;21;29;53,95;178;178;9
"4";"Region";"Alentejo";"ICU";23,8671875;19;1;12;19;29,25;48;58,25;117,35;126;126;17,25
"5";"Region";"Algarve";"nonICU";13,1177460050463;8;0;4;8;14;28,2;44;84,5999999999995;163;163;10
"6";"Region";"Algarve";"ICU";22,8312757201646;17;1;11,5;17;27;42,8;57,8;93,6399999999999;216;216;15,5
"7";"Region";"Centro";"nonICU";12,8811352688452;9;0;5;9;16;26;36;61;135;135;11
"8";"Region";"Centro";"ICU";23,4974958263773;19;0;12;19;31;44;55,1;80,0599999999999;113;113;19
"9";"Region";"LVT";"nonICU";13,2818997146351;9;0;4;9;17;29;40;70;348;348;13
"10";"Region";"LVT";"ICU";24,5619285120532;18;0;11;18;31;51,5;66;102,95;210;210;20
"11";"Region";"Norte";"nonICU";11,7687030735159;8;0;4;8;14;26;36;65,880000000001;277;277;10
"12";"Region";"Norte";"ICU";24,4436790923825;17;0;10;17;31;54;70,6500000000001;119;202;202;21
"13";"Gender";"Feminine";"nonICU";12,3247058823529;8;0;4;8;15;27;37;66;348;348;11
"14";"Gender";"Feminine";"ICU";23,8203624733475;17;0;10;17;29;50;67;115,5;210;210;19
"15";"Gender";"Masculine";"nonICU";12,7399751133946;9;0;5;9;16;27;38;69;277;277;11
"16";"Gender";"Masculine";"ICU";24,528564453125;18;0;11;18;31;51;66;111;216;216;20
"17";"Group";"[0,5)";"nonICU";6,27745664739884;3;0;1;3;6;13;20;57,65;101;101;5
"18";"Group";"[0,5)";"ICU";33,1481481481481;15;1;6,5;15;36,5;87,6;111,6;178,42;200;200;30
"19";"Group";"[5,10)";"nonICU";5,90721649484536;4;0;1;4;8;12,4;17,2;31,12;34;34;7
"20";"Group";"[5,10)";"ICU";16,4;16;1;6;16;19;31,6;35,8;39,16;40;40;13
"21";"Group";"[10,15)";"nonICU";7,13157894736842;3;0;1,25;3;9;18,4;30;45,87;47;47;7,75
"22";"Group";"[10,15)";"ICU";10,8666666666667;10;1;6,5;10;14,5;20,2;21,9;23,58;24;24;8
"23";"Group";"[15,20)";"nonICU";7,95670995670996;3;0;2;3;7;17;29,5;43,8999999999999;277;277;5
"24";"Group";"[15,20)";"ICU";20,4166666666667;11,5;7;9,75;11,5;17;47,3;61,7;73,14;76;76;7,25
"25";"Group";"[20,25)";"nonICU";7,0828025477707;4;0;2;4;7;15;26;43,6;225;225;5
"26";"Group";"[20,25)";"ICU";18,64;13;1;9;13;26;31;39,8;77,7199999999999;89;89;17
"27";"Group";"[25,30)";"nonICU";7,48637602179836;3;0;2;3;7;18;28;48,3399999999999;288;288;5
"28";"Group";"[25,30)";"ICU";20,953488372093;13;2;8,5;13;27;41,8;56,6;97,22;101;101;18,5
"29";"Group";"[30,35)";"nonICU";7,11730545876887;4;0;2;4;8;15;26;49,8;66;66;6
"30";"Group";"[30,35)";"ICU";14,1447368421053;10,5;2;7;10,5;15;30,5;41,25;54,25;58;58;8
"31";"Group";"[35,40)";"nonICU";8,88426395939086;5;0;3;5;10;19;29;57,16;165;165;7
"32";"Group";"[35,40)";"ICU";17,7622950819672;13;0;9;13;21,75;36;39,95;105,039999999999;129;129;12,75
"33";"Group";"[40,45)";"nonICU";9,17448116833205;6;0;4;6;10;19;28;56;143;143;6
"34";"Group";"[40,45)";"ICU";20,0967741935484;13;0;8;13;23;40;50;102,2;216;216;15
"35";"Group";"[45,50)";"nonICU";9,91884057971014;7;0;4;7;11;21;30;53,76;213;213;7
"36";"Group";"[45,50)";"ICU";21,5398773006135;14;0;9;14;26,75;46;61;106;193;193;17,75
"37";"Group";"[50,55)";"nonICU";10,8550588235294;8;0;5;8;12;23;32;61,5199999999995;132;132;7
"38";"Group";"[50,55)";"ICU";23,3094170403587;18;0;11;18;29;43;54,5;120,65;202;202;18
"39";"Group";"[55,60)";"nonICU";11,1100035599858;8;0;5;8;13;23;32;65;167;167;8
"40";"Group";"[55,60)";"ICU";24,703125;19;0;11;19;30,25;53;64,05;106,32;151;151;19,25
"41";"Group";"[60,65)";"nonICU";12,2639405204461;8;0;5;8;14;26;37;68;239;239;9
"42";"Group";"[60,65)";"ICU";25,0866510538642;19;0;11;19;33;52;66;106,17;180;180;22
"43";"Group";"[65,70)";"nonICU";13,0538387252535;9;0;5;9;15;27;38;69,5900000000001;228;228;10
"44";"Group";"[65,70)";"ICU";25,499001996008;19;0;12;19;31;53,9;67;112,98;199;199;19
"45";"Group";"[70,75)";"nonICU";14,0609212481426;10;0;5;10;17;30;42;72,8999999999996;348;348;12
