"";"Group";"Level";"Type";"mean";"median";"0%";"25%";"50%";"75%";"90%";"95%";"99%";"100%";"max";"IQR"
"1";"Total";"Total";"nonICU";11,0192534737989;7;0;3;7;14;24;33;61;228;228;11
"2";"Total";"Total";"ICU";20,0367159612443;16;0;9;16;26;39;53;95,4000000000001;199;199;17
"3";"Region";"Alentejo";"nonICU";7,83093525179856;5;0;3;5;10;16;22,25;38,3500000000001;178;178;7
"4";"Region";"Alentejo";"ICU";20,8372093023256;17;1;7;17;23,5;51,5;58,75;84,75;89;89;16,5
"5";"Region";"Algarve";"nonICU";13,9413919413919;8;0;4;8;15;28,8;41,8;116,559999999999;163;163;11
"6";"Region";"Algarve";"ICU";18,921568627451;16;1;11,25;16;26;30;38,7499999999999;55,93;64;64;14,75
"7";"Region";"Centro";"nonICU";10,5116504854369;7;0;4;7;13;23;29;54,4100000000001;135;135;9
"8";"Region";"Centro";"ICU";18,5;16;0;10;16;24,25;34;40,45;63,69;96;96;14,25
"9";"Region";"LVT";"nonICU";12,078727723889;8;0;4;8;16;26;36;66;228;228;12
"10";"Region";"LVT";"ICU";19,5597633136095;15;0;8;15;26;38,6;54,5999999999999;82;180;180;18
"11";"Region";"Norte";"nonICU";10,2938465708864;7;0;3;7;13;22;32;55;163;163;10
"12";"Region";"Norte";"ICU";21,1925287356322;16;0;8;16;27;43;59,5;121,15;199;199;19
"13";"Gender";"Feminine";"nonICU";10,2220945816581;7;0;3;7;13;22;31;57;206;206;10
"14";"Gender";"Feminine";"ICU";18,9895833333333;15;0;8;15;24;37;53;94,25;180;180;16
"15";"Gender";"Masculine";"nonICU";11,738597097443;8;0;4;8;15;25;34;64;228;228;11
"16";"Gender";"Masculine";"ICU";20,472202166065;17;0;9;17;26;39;53;95,1600000000001;199;199;17
"17";"Group";"[0,5)";"nonICU";2;2;2;2;2;2;2;2;2;2;2;0
"18";"Group";"[0,5)";"ICU";18;18;18;18;18;18;18;18;18;18;18;0
"19";"Group";"[5,10)";"nonICU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-Inf;NA
"20";"Group";"[5,10)";"ICU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-Inf;NA
"21";"Group";"[10,15)";"nonICU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-Inf;NA
"22";"Group";"[10,15)";"ICU";1;1;1;1;1;1;1;1;1;1;1;0
"23";"Group";"[15,20)";"nonICU";48;48;48;48;48;48;48;48;48;48;48;0
"24";"Group";"[15,20)";"ICU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-Inf;NA
"25";"Group";"[20,25)";"nonICU";23;23;23;23;23;23;23;23;23;23;23;0
"26";"Group";"[20,25)";"ICU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-Inf;NA
"27";"Group";"[25,30)";"nonICU";14,2;6;1;2;6;6;36;46;54;56;56;4
"28";"Group";"[25,30)";"ICU";30;30;30;30;30;30;30;30;30;30;30;0
"29";"Group";"[30,35)";"nonICU";10,75;6,5;2;3,5;6,5;13,5;21,6;29,3;35,46;37;37;10
"30";"Group";"[30,35)";"ICU";8,28571428571429;7;2;6;7;11,5;13,4;13,7;13,94;14;14;5,5
"31";"Group";"[35,40)";"nonICU";15,5882352941176;6;0;5;6;17;29,8;49,2;88,24;98;98;12
"32";"Group";"[35,40)";"ICU";24,8333333333333;17;0;7,5;17;23,5;40,3;77,55;112,31;121;121;16
"33";"Group";"[40,45)";"nonICU";15,5;8;1;4,75;8;26,75;39;40,95;48,57;51;51;22
"34";"Group";"[40,45)";"ICU";20,75;11,5;1;7,25;11,5;23,5;37,4;46,1;117,84;139;139;16,25
"35";"Group";"[45,50)";"nonICU";14,6176470588235;9,5;0;3,75;9,5;21;29,3;45,4500000000001;69,6;83;83;17,25
"36";"Group";"[45,50)";"ICU";26,2432432432432;16;0;8;16;30;61,8;78,6;121,48;142;142;22
"37";"Group";"[50,55)";"nonICU";16,1739130434783;10;0;5;10;22,5;37,7;51,45;82,09;83;83;17,5
"38";"Group";"[50,55)";"ICU";24,9142857142857;20;1;12;20;30,75;46;60,7;109,95;141;141;18,75
"39";"Group";"[55,60)";"nonICU";16,7839506172839;11;0;5;11;21,75;37;51,95;88,4099999999997;142;142;16,75
"40";"Group";"[55,60)";"ICU";24,4829931972789;19;1;11;19;29;44,4;62,7;121,7;151;151;18
"41";"Group";"[60,65)";"nonICU";13,8780487804878;8;0;3,5;8;18,5;32;43;81,5599999999999;178;178;15
"42";"Group";"[60,65)";"ICU";21,5585585585586;17;0;10;17;27;43,6;56,95;76,74;180;180;17
