"";"Group";"Level";"Entries_nonICU";"Entries_ICU";"Entries_Total";"Prop_ICU";"Fatalities_nonICU";"Fatalities_ICU";"Fatalities_Total";"Fatal_rate_nonICU";"Fatal_rate_ICU";"Fatal_rate_Total";"Prop_Entries_nonICU";"Prop_Entries_ICU";"Prop_Entries_Total";"Pop";"Prop_Entries_Pop_nonICU";"Prop_Entries_Pop_ICU";"Prop_Entries_Pop_Total";"Prop100T_Entries_Pop_nonICU";"Prop100T_Entries_Pop_ICU";"Prop100T_Entries_Pop_Total"
"1";"Total";"Total";48713;5972;54685;0,109207278046996;11011;1961;12972;0,226038223882742;0,328365706630944;0,237213129743074;1;1;1;9857593;0,00494167288099641;0,000605827406345545;0,00554750028734195;4941,67288099641;605,827406345545;5547,50028734195
"2";"Region";"Alentejo";1706;256;1962;0,130479102956167;556;86;642;0,325908558030481;0,3359375;0,327217125382263;0,0350214521790898;0,042866711319491;0,0358782115753863;166726;0,010232357280808;0,00153545337859722;0,0117678106594053;10232,357280808;1535,45337859722;11767,8106594053
"3";"Region";"Algarve";1189;243;1432;0,169692737430168;273;102;375;0,229604709840202;0,419753086419753;0,261871508379888;0,0244082688399401;0,0406898861352981;0,026186339946969;451006;0,00263632856325636;0,00053879549274289;0,00317512405599925;2636,32856325636;538,79549274289;3175,12405599925
"4";"Region";"Centro";7681;599;8280;0,0723429951690821;2060;232;2292;0,268194245540945;0,387312186978297;0,276811594202899;0,157678648410075;0,100301406563965;0,151412636006217;1480664;0,00518753748318322;0,000404548229713156;0,00559208571289638;5187,53748318322;404,548229713156;5592,08571289638
"5";"Region";"LVT";19624;2406;22030;0,109214707217431;4433;845;5278;0,225896860986547;0,35120532003325;0,2395823876532;0,402849342064747;0,402880107166778;0,402852701837798;3659871;0,00536193762020574;0,000657400219843814;0,00601933784004955;5361,93762020574;657,400219843814;6019,33784004955
"6";"Region";"Norte";18513;2468;20981;0,117630236880988;3689;696;4385;0,199265381083563;0,282009724473258;0,208998617797054;0,380042288506148;0,413261888814468;0,383670110633629;3125804;0,00592263622415225;0,000789556862810336;0,00671219308696259;5922,63622415225;789,556862810336;6712,19308696259
"7";"Gender";"Feminine";23800;1876;25676;0,0730643402399128;5223;576;5799;0,219453781512605;0,307036247334755;0,225852936594485;0,488575944819658;0,314132618888145;0,469525464021212;5169608;0,00460383069664083;0,000362890184323454;0,00496672088096428;4603,83069664083;362,890184323454;4966,72088096428
"8";"Gender";"Masculine";24913;4096;29009;0,141197559378124;5788;1385;7173;0,232328503191105;0,338134765625;0,247268089213692;0,511424055180342;0,685867381111855;0,530474535978788;4687985;0,00531422348834307;0,000873722932133955;0,00618794642047703;5314,22348834307;873,722932133955;6187,94642047703
"9";"Group";"[0,5)";346;27;373;0,0723860589812333;1;1;2;0,00289017341040462;0,037037037037037;0,00536193029490617;0,0071028267608236;0,00452109845947756;0,0068208832403767;415549;0,000832633455982327;6,49742870275226e-05;0,00089760774300985;832,633455982327;64,9742870275226;897,60774300985
"10";"Group";"[5,10)";97;5;102;0,0490196078431373;0;0;0;0;0;0;0,00199125490115575;0,000837240455458808;0,00186522812471427;422628;0,000229516264894896;1,18307353038606e-05;0,000241347000198756;229,516264894896;11,8307353038606;241,347000198756
"11";"Group";"[10,15)";114;15;129;0,116279069767442;0;1;1;0;0,0666666666666667;0,00775193798449612;0,00234023771888408;0,00251172136637642;0,00235896498125629;475629;0,000239682609765174;3,15371854954176e-05;0,000271219795260592;239,682609765174;31,5371854954176;271,219795260592
"12";"Group";"[15,20)";231;12;243;0,0493827160493827;1;0;1;0,00432900432900433;0;0,00411522633744856;0,00474206064089668;0,00200937709310114;0,00444363170887812;506433;0,000456131413237289;2,3695138349989e-05;0,000479826551587278;456,131413237289;23,695138349989;479,826551587278
"13";"Group";"[20,25)";471;25;496;0,0504032258064516;1;0;1;0,00212314225053079;0;0,00201612903225806;0,00966887689117895;0,00418620227729404;0,00907012892017921;531810;0,000885654651097196;4,7009270228089e-05;0,000932663921325285;885,654651097196;47,009270228089;932,663921325285
"14";"Group";"[25,30)";734;43;777;0,0553410553410553;5;1;6;0,00681198910081744;0,0232558139534884;0,00772200772200772;0,0150678463654466;0,00720026791694575;0,0142086495382646;515282;0,00142446272138363;8,34494509802399e-05;0,00150791217236387;1424,46272138363;83,4494509802399;1507,91217236387
"15";"Group";"[30,35)";861;76;937;0,0811099252934899;8;7;15;0,00929152148664344;0,0921052631578947;0,016008537886873;0,0176749532978876;0,0127260549229739;0,0171344975770321;533250;0,00161462728551336;0,000142522269104548;0,00175714955461791;1614,62728551336;142,522269104548;1757,14955461791
"16";"Group";"[35,40)";985;122;1107;0,110207768744354;17;12;29;0,017258883248731;0,0983606557377049;0,026196928635953;0,0202204750272001;0,0204286671131949;0,0202432111182225;615083;0,00160140989102284;0,000198347214928717;0,00179975710595155;1601,40989102284;198,347214928717;1799,75710595155
"17";"Group";"[40,45)";1301;217;1518;0,142951251646904;28;24;52;0,02152190622598;0,110599078341014;0,0342555994729908;0,0267074497567384;0,0363362357669123;0,0277589832678065;724463;0,00179581289865735;0,000299532205233394;0,00209534510389074;1795,81289865735;299,532205233394;2095,34510389074
"18";"Group";"[45,50)";1725;326;2051;0,158946855192589;68;37;105;0,0394202898550725;0,113496932515337;0,0511945392491468;0,0354114917989038;0,0545880776959143;0,0375057145469507;763202;0,00226021420279297;0,000427147727600295;0,00268736193039326;2260,21420279297;427,147727600295;2687,36193039326
"19";"Group";"[50,55)";2125;446;2571;0,173473356670556;92;70;162;0,0432941176470588;0,15695067264574;0,0630105017502917;0,0436228522160409;0,0746818486269257;0,047014720672945;708709;0,00299840978455191;0,000629313300663601;0,00362772308521551;2998,40978455191;629,313300663601;3627,72308521551
"20";"Group";"[55,60)";2809;640;3449;0,185561032183242;162;147;309;0,0576717693129227;0,2296875;0,0895911858509713;0,0576642785293454;0,107166778298727;0,0630703117856816;706171;0,00397779008200563;0,000906296067099895;0,00488408614910553;3977,79008200563;906,296067099895;4884,08614910553
"21";"Group";"[60,65)";3497;854;4351;0,196276717995863;287;222;509;0,0820703460108665;0,259953161592506;0,116984601241094;0,0717878184468212;0,143000669792364;0,0795647801042333;655391;0,00533574614237913;0,00130303894926845;0,00663878509164758;5335,74614237913;1303,03894926845;6638,78509164758
"22";"Group";"[65,70)";4142;1002;5144;0,194790046656299;505;369;874;0,121921776919363;0,368263473053892;0,169906687402799;0,0850286371194548;0,167782987273945;0,0940660144463747;602210;0,00687799936899088;0,00166387140698427;0,00854187077597516;6877,99936899088;1663,87140698427;8541,87077597516
"23";"Group";"[70,75)";4711;902;5613;0,160698378763585;824;389;1213;0,174909785608151;0,431263858093126;0,216105469445929;0,0967092973128323;0,151038178164769;0,102642406510012;536388;0,00878282139048599;0,00168161852987017;0,0104644399203562;8782,82139048599;1681,61852987017;10464,4399203562
"24";"Group";"[75,80)";5595;696;6291;0,110634239389604;1472;361;1833;0,263092046470063;0,51867816091954;0,291368621840725;0,114856403834705;0,116543871399866;0,115040687574289;428706;0,0130509020167667;0,00162349022406964;0,0146743922408364;13050,9020167667;1623,49022406964;14674,3922408364
"25";"Group";"[80,150)";18969;564;19533;0,0288742128705268;7540;320;7860;0,397490642627445;0,567375886524823;0,402395945323299;0,389403239381685;0,0944407233757535;0,357191185882783;661224;0,0286877064353381;0,000852963594787848;0,0295406700301259;28687,7064353381;852,963594787848;29540,6700301259
"26";"Entry.month";"2020-04";2421;284;2705;0,104990757855823;534;72;606;0,220570012391574;0,253521126760563;0,224029574861368;0,0496992589247224;0,0475552578700603;0,0494651184054128;NA;NA;NA;NA;NA;NA;NA
"27";"Entry.month";"2020-05";1063;125;1188;0,105218855218855;149;26;175;0,140169332079022;0,208;0,147306397306397;0,0218216903085419;0,0209310113864702;0,0217244216878486;NA;NA;NA;NA;NA;NA;NA
"28";"Entry.month";"2020-06";1037;146;1183;0,12341504649197;141;34;175;0,135969141755063;0,232876712328767;0,14792899408284;0,021287951881428;0,0244474212993972;0,0216329889366371;NA;NA;NA;NA;NA;NA;NA
"29";"Entry.month";"2020-07";859;109;968;0,112603305785124;111;23;134;0,129220023282887;0,211009174311927;0,138429752066116;0,0176338964958019;0,018251841929002;0,0177013806345433;NA;NA;NA;NA;NA;NA;NA
"30";"Entry.month";"2020-08";642;111;753;0,147410358565737;99;29;128;0,154205607476636;0,261261261261261;0,169986719787517;0,0131792334695051;0,0185867381111855;0,0137697723324495;NA;NA;NA;NA;NA;NA;NA
"31";"Entry.month";"2020-09";1363;233;1596;0,145989974937343;233;64;297;0,170946441672781;0,274678111587983;0,18609022556391;0,0279802106213947;0,0390154052243804;0,0291853341867057;NA;NA;NA;NA;NA;NA;NA
"32";"Entry.month";"2020-10";3832;586;4418;0,132639203259393;776;164;940;0,202505219206681;0,279863481228669;0,212765957446809;0,0786648327961735;0,0981245813797723;0,0807899789704672;NA;NA;NA;NA;NA;NA;NA
"33";"Entry.month";"2020-11";7740;975;8715;0,111876075731497;1712;347;2059;0,221188630490956;0,355897435897436;0,236259323006311;0,158889824071603;0,163261888814468;0,159367285361617;NA;NA;NA;NA;NA;NA;NA
"34";"Entry.month";"2020-12";7507;819;8326;0,0983665625750661;1825;290;2115;0,243106433994938;0,354090354090354;0,25402354071583;0,154106706628621;0,137139986604153;0,152253817317363;NA;NA;NA;NA;NA;NA;NA
"35";"Entry.month";"2021-01";13294;1415;14709;0,0961996056835951;3632;549;4181;0,273205957574846;0,387985865724382;0,28424773947923;0,272904563463552;0,236939048894843;0,268976867513944;NA;NA;NA;NA;NA;NA;NA
"36";"Entry.month";"2021-02";6191;658;6849;0,0960724193312892;1331;205;1536;0,214989500888386;0,311550151975684;0,224266316250548;0,12709133085624;0,110180843938379;0,125244582609491;NA;NA;NA;NA;NA;NA;NA
"37";"Entry.month";"2021-03";1133;138;1271;0,108575924468922;123;52;175;0,10856134157105;0,376811594202899;0,137686860739575;0,0232586783815409;0,0231078365706631;0,0232422053579592;NA;NA;NA;NA;NA;NA;NA
"38";"Entry.month";"2020-03";1631;373;2004;0,186127744510978;345;106;451;0,211526670754139;0,284182305630027;0,225049900199601;0,0334818221008766;0,0624581379772271;0,0366462466855628;NA;NA;NA;NA;NA;NA;NA
"39";"Discharge.month";"2020-04";2479;340;2819;0,120610145441646;615;103;718;0,248083904800323;0,302941176470588;0,254700248315005;0,0508899061852072;0,0569323509711989;0,0515497851330347;NA;NA;NA;NA;NA;NA;NA
"40";"Discharge.month";"2020-05";1576;243;1819;0,133589884551952;212;44;256;0,134517766497462;0,181069958847737;0,140736668499175;0,0323527600435202;0,0406898861352981;0,0332632348907379;NA;NA;NA;NA;NA;NA;NA
"41";"Discharge.month";"2020-06";1093;155;1248;0,124198717948718;127;33;160;0,116193961573651;0,212903225806452;0,128205128205128;0,0224375423398272;0,025954454119223;0,0228216147023864;NA;NA;NA;NA;NA;NA;NA
"42";"Discharge.month";"2020-07";1014;169;1183;0,142857142857143;139;42;181;0,137080867850099;0,248520710059172;0,153000845308538;0,0208157986574426;0,0282987273945077;0,0216329889366371;NA;NA;NA;NA;NA;NA;NA
"43";"Discharge.month";"2020-08";646;97;743;0,130551816958277;96;18;114;0,148606811145511;0,185567010309278;0,15343203230148;0,0132613470736764;0,0162424648359009;0,0135869068300265;NA;NA;NA;NA;NA;NA;NA
"44";"Discharge.month";"2020-09";959;125;1084;0,115313653136531;140;29;169;0,145985401459854;0,232;0,15590405904059;0,0196867366000862;0,0209310113864702;0,0198226204626497;NA;NA;NA;NA;NA;NA;NA
"45";"Discharge.month";"2020-10";2611;330;2941;0,112206732403944;509;95;604;0,194944465721946;0,287878787878788;0,20537232233934;0,0535996551228625;0,0552578700602813;0,0537807442625949;NA;NA;NA;NA;NA;NA;NA
"46";"Discharge.month";"2020-11";6556;715;7271;0,0983358547655068;1450;254;1704;0,221171446003661;0,355244755244755;0,234355659469124;0,134584197236877;0,11972538513061;0,13296150681174;NA;NA;NA;NA;NA;NA;NA
"47";"Discharge.month";"2020-12";7580;884;8464;0,104442344045369;1712;296;2008;0,225857519788918;0,334841628959276;0,237240075614367;0,155605279904748;0,148024112525117;0,1547773612508;NA;NA;NA;NA;NA;NA;NA
"48";"Discharge.month";"2021-01";10970;1118;12088;0,092488418266049;3288;466;3754;0,299726526891522;0,416815742397138;0,310555923229649;0,225196559439985;0,187206965840589;0,221047819328884;NA;NA;NA;NA;NA;NA;NA
"49";"Discharge.month";"2021-02";9964;1065;11029;0,0965636050412549;2221;367;2588;0,222902448815737;0,344600938967136;0,234654093752833;0,204544987990885;0,178332217012726;0,201682362622291;NA;NA;NA;NA;NA;NA;NA
"50";"Discharge.month";"2021-03";2438;523;2961;0,176629517055049;330;137;467;0,135356849876948;0,261950286806883;0,157716987504222;0,0500482417424507;0,0875753516409913;0,0541464752674408;NA;NA;NA;NA;NA;NA;NA
"51";"Discharge.month";"2020-03";482;42;524;0,0801526717557252;133;28;161;0,275933609958506;0,666666666666667;0,307251908396947;0,00989468930265022;0,00703281982585399;0,00958215232696352;NA;NA;NA;NA;NA;NA;NA
"52";"Discharge.month";"2021-05";31;29;60;0,483333333333333;4;10;14;0,129032258064516;0,344827586206897;0,233333333333333;0,000636380432328126;0,00485599464166109;0,00109719301453781;NA;NA;NA;NA;NA;NA;NA
"53";"Discharge.month";"2021-06";2;5;7;0,714285714285714;0;2;2;0;0,4;0,285714285714286;4,10568020856855e-05;0,000837240455458808;0,000128005851696078;NA;NA;NA;NA;NA;NA;NA
"54";"Discharge.month";"2021-04";312;132;444;0,297297297297297;35;37;72;0,112179487179487;0,28030303030303;0,162162162162162;0,00640486112536695;0,0221031480241125;0,00811922830757978;NA;NA;NA;NA;NA;NA;NA
