"";"date";"entries";"discharges";"entries_nonICU";"discharges_nonICU";"occupancy_nonICU";"entries_ICU";"discharges_ICU";"occupancy_ICU";"deaths_nonICU";"deaths_ICU";"sum_deaths_nonICU";"sum_deaths_ICU"
"1";2020-03-01;5;0;5;0;5;0;0;0;0;0;0;0
"2";2020-03-02;7;0;7;0;12;0;0;0;0;0;0;0
"3";2020-03-03;12;1;11;1;22;1;0;1;0;0;0;0
"4";2020-03-04;13;0;12;0;34;1;0;2;0;0;0;0
"5";2020-03-05;14;0;8;0;42;6;0;8;0;0;0;0
"6";2020-03-06;13;1;13;1;54;0;0;8;0;0;0;0
"7";2020-03-07;16;0;15;0;69;1;0;9;0;0;0;0
"8";2020-03-08;16;1;15;1;83;1;0;10;0;0;0;0
"9";2020-03-09;18;1;16;1;98;2;0;12;0;0;0;0
"10";2020-03-10;20;0;16;0;114;4;0;16;0;0;0;0
"11";2020-03-11;25;2;20;2;132;5;0;21;0;0;0;0
"12";2020-03-12;23;9;19;9;142;4;0;25;0;0;0;0
"13";2020-03-13;29;11;26;11;157;3;0;28;0;0;0;0
"14";2020-03-14;31;4;25;4;178;6;0;34;0;0;0;0
"15";2020-03-15;26;3;15;3;190;11;0;45;0;0;0;0
"16";2020-03-16;37;7;30;6;214;7;1;51;0;1;0;1
"17";2020-03-17;44;10;33;9;238;11;1;61;1;0;1;1
"18";2020-03-18;53;9;40;8;270;13;1;73;0;1;1;2
"19";2020-03-19;65;14;51;13;308;14;1;86;3;0;4;2
"20";2020-03-20;68;20;49;19;338;19;1;104;4;1;8;3
"21";2020-03-21;95;19;76;19;395;19;0;123;4;0;12;3
"22";2020-03-22;97;12;78;12;461;19;0;142;6;0;18;3
"23";2020-03-23;105;19;85;18;528;20;1;161;5;0;23;3
"24";2020-03-24;119;31;92;26;594;27;5;183;5;5;28;8
"25";2020-03-25;142;31;116;28;682;26;3;206;11;3;39;11
"26";2020-03-26;136;30;113;27;768;23;3;226;6;2;45;13
"27";2020-03-27;145;53;116;45;839;29;8;247;15;5;60;18
"28";2020-03-28;172;41;145;39;945;27;2;272;14;1;74;19
"29";2020-03-29;131;38;109;35;1019;22;3;291;15;2;89;21
"30";2020-03-30;157;72;136;65;1090;21;7;305;23;4;112;25
"31";2020-03-31;170;85;139;80;1149;31;5;331;21;3;133;28
"32";2020-04-01;152;76;137;70;1216;15;6;340;18;3;151;31
"33";2020-04-02;163;92;138;72;1282;25;20;345;21;8;172;39
"34";2020-04-03;129;97;109;84;1307;20;13;352;13;3;185;42
