"";"Discharge.month";"Gender";"Deceased";"Entries";"Perc"
"1";"2020-03";"Feminine";62;218;0,284403669724771
"2";"2020-03";"Masculine";71;264;0,268939393939394
"3";"2020-04";"Feminine";305;1237;0,246564268391269
"4";"2020-04";"Masculine";310;1242;0,249597423510467
"5";"2020-05";"Feminine";107;874;0,122425629290618
"6";"2020-05";"Masculine";105;702;0,14957264957265
"7";"2020-06";"Feminine";56;522;0,10727969348659
"8";"2020-06";"Masculine";71;571;0,124343257443082
"9";"2020-07";"Feminine";66;503;0,131212723658052
"10";"2020-07";"Masculine";73;511;0,142857142857143
"11";"2020-08";"Feminine";43;344;0,125
"12";"2020-08";"Masculine";53;302;0,175496688741722
"13";"2020-09";"Feminine";71;483;0,146997929606625
"14";"2020-09";"Masculine";69;476;0,144957983193277
"15";"2020-10";"Feminine";238;1280;0,1859375
"16";"2020-10";"Masculine";271;1331;0,203606311044328
"17";"2020-11";"Feminine";715;3161;0,226194242328377
"18";"2020-11";"Masculine";735;3395;0,216494845360825
"19";"2020-12";"Feminine";835;3731;0,223800589654248
"20";"2020-12";"Masculine";877;3849;0,227851389971421
"21";"2021-01";"Feminine";1512;5264;0,287234042553192
"22";"2021-01";"Masculine";1776;5706;0,311251314405889
"23";"2021-02";"Feminine";1056;4823;0,218950860460294
"24";"2021-02";"Masculine";1165;5141;0,226609609025481
"25";"2021-03";"Feminine";144;1191;0,120906801007557
"26";"2021-03";"Masculine";186;1247;0,14915797914996
