"";"Entry.month";"Gender";"Entries";"Perc"
"1";"2020-03";"Feminine";751;0,0315546218487395
"2";"2020-04";"Feminine";1320;0,0554621848739496
"3";"2020-05";"Feminine";556;0,0233613445378151
"4";"2020-06";"Feminine";491;0,0206302521008403
"5";"2020-07";"Feminine";419;0,0176050420168067
"6";"2020-08";"Feminine";344;0,014453781512605
"7";"2020-09";"Feminine";674;0,0283193277310924
"8";"2020-10";"Feminine";1856;0,0779831932773109
"9";"2020-11";"Feminine";3694;0,155210084033613
"10";"2020-12";"Feminine";3747;0,157436974789916
"11";"2021-01";"Feminine";6306;0,264957983193277
"12";"2021-02";"Feminine";3041;0,127773109243697
"13";"2021-03";"Feminine";601;0,0252521008403361
"14";"2020-03";"Masculine";880;0,0353229237747361
"15";"2020-04";"Masculine";1101;0,0441937944045278
"16";"2020-05";"Masculine";507;0,0203508208565809
"17";"2020-06";"Masculine";546;0,0219162686147794
"18";"2020-07";"Masculine";440;0,017661461887368
"19";"2020-08";"Masculine";298;0,0119616264600811
"20";"2020-09";"Masculine";689;0,027656243728174
"21";"2020-10";"Masculine";1976;0,0793160197487256
"22";"2020-11";"Masculine";4046;0,162405169991571
"23";"2020-12";"Masculine";3760;0,150925219764781
"24";"2021-01";"Masculine";6988;0,280496126520291
"25";"2021-02";"Masculine";3150;0,126440011239112
"26";"2021-03";"Masculine";532;0,0213543130092723
