"";"Group";"Gender";"Entries";"Perc"
"1";"[0,5)";"Feminine";12;0,00639658848614072
"2";"[5,10)";"Feminine";1;0,000533049040511727
"3";"[10,15)";"Feminine";8;0,00426439232409382
"4";"[15,20)";"Feminine";7;0,00373134328358209
"5";"[20,25)";"Feminine";6;0,00319829424307036
"6";"[25,30)";"Feminine";15;0,00799573560767591
"7";"[30,35)";"Feminine";27;0,0143923240938166
"8";"[35,40)";"Feminine";44;0,023454157782516
"9";"[40,45)";"Feminine";60;0,0319829424307036
"10";"[45,50)";"Feminine";103;0,0549040511727079
"11";"[50,55)";"Feminine";133;0,0708955223880597
"12";"[55,60)";"Feminine";201;0,107142857142857
"13";"[60,65)";"Feminine";256;0,136460554371002
"14";"[65,70)";"Feminine";277;0,147654584221748
"15";"[70,75)";"Feminine";274;0,146055437100213
"16";"[75,80)";"Feminine";229;0,122068230277185
"17";"[80,150)";"Feminine";223;0,118869936034115
"18";"[0,5)";"Masculine";15;0,003662109375
"19";"[5,10)";"Masculine";4;0,0009765625
"20";"[10,15)";"Masculine";7;0,001708984375
"21";"[15,20)";"Masculine";5;0,001220703125
"22";"[20,25)";"Masculine";19;0,004638671875
"23";"[25,30)";"Masculine";28;0,0068359375
"24";"[30,35)";"Masculine";49;0,011962890625
"25";"[35,40)";"Masculine";78;0,01904296875
"26";"[40,45)";"Masculine";157;0,038330078125
"27";"[45,50)";"Masculine";223;0,054443359375
"28";"[50,55)";"Masculine";313;0,076416015625
"29";"[55,60)";"Masculine";439;0,107177734375
"30";"[60,65)";"Masculine";598;0,14599609375
"31";"[65,70)";"Masculine";725;0,177001953125
"32";"[70,75)";"Masculine";628;0,1533203125
"33";"[75,80)";"Masculine";467;0,114013671875
"34";"[80,150)";"Masculine";341;0,083251953125
