"";"Group";"Gender";"Deceased";"Entries";"Perc"
"1";"[0,5)";"Feminine";1;12;0,0833333333333333
"2";"[0,5)";"Masculine";0;15;0
"3";"[10,15)";"Feminine";0;8;0
"4";"[10,15)";"Masculine";1;7;0,142857142857143
"5";"[15,20)";"Feminine";0;7;0
"6";"[15,20)";"Masculine";0;5;0
"7";"[20,25)";"Feminine";0;6;0
"8";"[20,25)";"Masculine";0;19;0
"9";"[25,30)";"Feminine";0;15;0
"10";"[25,30)";"Masculine";1;28;0,0357142857142857
"11";"[30,35)";"Feminine";2;27;0,0740740740740741
"12";"[30,35)";"Masculine";5;49;0,102040816326531
"13";"[35,40)";"Feminine";4;44;0,0909090909090909
"14";"[35,40)";"Masculine";8;78;0,102564102564103
"15";"[40,45)";"Feminine";11;60;0,183333333333333
"16";"[40,45)";"Masculine";13;157;0,0828025477707006
"17";"[45,50)";"Feminine";15;103;0,145631067961165
"18";"[45,50)";"Masculine";22;223;0,0986547085201794
"19";"[5,10)";"Feminine";0;1;0
"20";"[5,10)";"Masculine";0;4;0
"21";"[50,55)";"Feminine";21;133;0,157894736842105
"22";"[50,55)";"Masculine";49;313;0,156549520766773
"23";"[55,60)";"Feminine";44;201;0,218905472636816
"24";"[55,60)";"Masculine";103;439;0,234624145785877
"25";"[60,65)";"Feminine";57;256;0,22265625
"26";"[60,65)";"Masculine";165;598;0,275919732441472
"27";"[65,70)";"Feminine";91;277;0,328519855595668
"28";"[65,70)";"Masculine";278;725;0,383448275862069
"29";"[70,75)";"Feminine";112;274;0,408759124087591
"30";"[70,75)";"Masculine";277;628;0,441082802547771
"31";"[75,80)";"Feminine";108;229;0,471615720524017
"32";"[75,80)";"Masculine";253;467;0,541755888650964
"33";"[80,150)";"Feminine";110;223;0,493273542600897
"34";"[80,150)";"Masculine";210;341;0,6158357771261
