"";"Group";"Region";"Deceased";"Entries";"Perc"
"1";"[0,5)";"Alentejo";0;2;0
"2";"[0,5)";"Algarve";0;1;0
"3";"[0,5)";"Centro";0;2;0
"4";"[0,5)";"LVT";1;15;0,0666666666666667
"5";"[0,5)";"Norte";0;7;0
"6";"[10,15)";"Alentejo";0;0;NA
"7";"[10,15)";"Algarve";0;0;NA
"8";"[10,15)";"Centro";0;0;NA
"9";"[10,15)";"LVT";0;11;0
"10";"[10,15)";"Norte";1;4;0,25
"11";"[15,20)";"Alentejo";0;0;NA
"12";"[15,20)";"Algarve";0;0;NA
"13";"[15,20)";"Centro";0;1;0
"14";"[15,20)";"LVT";0;4;0
"15";"[15,20)";"Norte";0;7;0
"16";"[20,25)";"Alentejo";0;0;NA
"17";"[20,25)";"Algarve";0;2;0
"18";"[20,25)";"Centro";0;2;0
"19";"[20,25)";"LVT";0;7;0
"20";"[20,25)";"Norte";0;14;0
"21";"[25,30)";"Alentejo";0;2;0
"22";"[25,30)";"Algarve";0;1;0
"23";"[25,30)";"Centro";0;5;0
"24";"[25,30)";"LVT";1;19;0,0526315789473684
"25";"[25,30)";"Norte";0;16;0
"26";"[30,35)";"Alentejo";1;3;0,333333333333333
"27";"[30,35)";"Algarve";0;1;0
"28";"[30,35)";"Centro";1;5;0,2
"29";"[30,35)";"LVT";5;43;0,116279069767442
"30";"[30,35)";"Norte";0;24;0
"31";"[35,40)";"Alentejo";0;5;0
"32";"[35,40)";"Algarve";1;5;0,2
"33";"[35,40)";"Centro";1;4;0,25
"34";"[35,40)";"LVT";7;63;0,111111111111111
"35";"[35,40)";"Norte";3;45;0,0666666666666667
"36";"[40,45)";"Alentejo";1;9;0,111111111111111
"37";"[40,45)";"Algarve";1;11;0,0909090909090909
"38";"[40,45)";"Centro";3;24;0,125
"39";"[40,45)";"LVT";10;95;0,105263157894737
"40";"[40,45)";"Norte";9;78;0,115384615384615
"41";"[45,50)";"Alentejo";1;7;0,142857142857143
"42";"[45,50)";"Algarve";3;11;0,272727272727273
"43";"[45,50)";"Centro";2;35;0,0571428571428571
"44";"[45,50)";"LVT";15;138;0,108695652173913
"45";"[45,50)";"Norte";16;135;0,118518518518519
"46";"[5,10)";"Alentejo";0;0;NA
"47";"[5,10)";"Algarve";0;0;NA
"48";"[5,10)";"Centro";0;0;NA
"49";"[5,10)";"LVT";0;4;0
"50";"[5,10)";"Norte";0;1;0
"51";"[50,55)";"Alentejo";3;25;0,12
"52";"[50,55)";"Algarve";3;20;0,15
"53";"[50,55)";"Centro";5;40;0,125
"54";"[50,55)";"LVT";36;176;0,204545454545455
"55";"[50,55)";"Norte";23;185;0,124324324324324
"56";"[55,60)";"Alentejo";3;23;0,130434782608696
"57";"[55,60)";"Algarve";12;38;0,315789473684211
"58";"[55,60)";"Centro";18;64;0,28125
"59";"[55,60)";"LVT";60;242;0,247933884297521
"60";"[55,60)";"Norte";54;273;0,197802197802198
"61";"[60,65)";"Alentejo";9;41;0,219512195121951
"62";"[60,65)";"Algarve";5;22;0,227272727272727
"63";"[60,65)";"Centro";32;87;0,367816091954023
"64";"[60,65)";"LVT";107;354;0,30225988700565
"65";"[60,65)";"Norte";69;350;0,197142857142857
"66";"[65,70)";"Alentejo";24;56;0,428571428571429
"67";"[65,70)";"Algarve";24;45;0,533333333333333
"68";"[65,70)";"Centro";42;94;0,446808510638298
"69";"[65,70)";"LVT";156;384;0,40625
"70";"[65,70)";"Norte";123;423;0,290780141843972
"71";"[70,75)";"Alentejo";19;43;0,441860465116279
"72";"[70,75)";"Algarve";19;34;0,558823529411765
"73";"[70,75)";"Centro";51;110;0,463636363636364
"74";"[70,75)";"LVT";142;304;0,467105263157895
"75";"[70,75)";"Norte";158;411;0,384428223844282
"76";"[75,80)";"Alentejo";10;16;0,625
"77";"[75,80)";"Algarve";25;36;0,694444444444444
"78";"[75,80)";"Centro";42;66;0,636363636363636
"79";"[75,80)";"LVT";156;289;0,539792387543253
"80";"[75,80)";"Norte";128;289;0,442906574394464
"81";"[80,150)";"Alentejo";15;24;0,625
"82";"[80,150)";"Algarve";9;16;0,5625
"83";"[80,150)";"Centro";35;60;0,583333333333333
"84";"[80,150)";"LVT";149;258;0,577519379844961
"85";"[80,150)";"Norte";112;206;0,543689320388349
