"";"Group";"Region";"Entries";"Perc"
"1";"[0,5)";"Alentejo";1;0,000586166471277843
"2";"[5,10)";"Alentejo";1;0,000586166471277843
"3";"[10,15)";"Alentejo";0;0
"4";"[15,20)";"Alentejo";6;0,00351699882766706
"5";"[20,25)";"Alentejo";17;0,00996483001172333
"6";"[25,30)";"Alentejo";26;0,0152403282532239
"7";"[30,35)";"Alentejo";22;0,0128956623681125
"8";"[35,40)";"Alentejo";21;0,0123094958968347
"9";"[40,45)";"Alentejo";38;0,022274325908558
"10";"[45,50)";"Alentejo";46;0,0269636576787808
"11";"[50,55)";"Alentejo";60;0,0351699882766706
"12";"[55,60)";"Alentejo";78;0,0457209847596717
"13";"[60,65)";"Alentejo";123;0,0720984759671747
"14";"[65,70)";"Alentejo";116;0,0679953106682298
"15";"[70,75)";"Alentejo";137;0,0803048065650645
"16";"[75,80)";"Alentejo";185;0,108440797186401
"17";"[80,150)";"Alentejo";829;0,485932004689332
"18";"[0,5)";"Algarve";2;0,00168208578637511
"19";"[5,10)";"Algarve";1;0,000841042893187553
"20";"[10,15)";"Algarve";4;0,00336417157275021
"21";"[15,20)";"Algarve";5;0,00420521446593776
"22";"[20,25)";"Algarve";9;0,00756938603868797
"23";"[25,30)";"Algarve";25;0,0210260723296888
"24";"[30,35)";"Algarve";23;0,0193439865433137
"25";"[35,40)";"Algarve";36;0,0302775441547519
"26";"[40,45)";"Algarve";34;0,0285954583683768
"27";"[45,50)";"Algarve";48;0,0403700588730025
"28";"[50,55)";"Algarve";52;0,0437342304457527
"29";"[55,60)";"Algarve";78;0,0656013456686291
"30";"[60,65)";"Algarve";90;0,0756938603868797
"31";"[65,70)";"Algarve";99;0,0832632464255677
"32";"[70,75)";"Algarve";93;0,0782169890664424
"33";"[75,80)";"Algarve";110;0,0925147182506308
"34";"[80,150)";"Algarve";480;0,403700588730025
"35";"[0,5)";"Centro";19;0,00247363624528056
"36";"[5,10)";"Centro";6;0,000781148287983335
"37";"[10,15)";"Centro";5;0,00065095690665278
"38";"[15,20)";"Centro";27;0,00351516729592501
"39";"[20,25)";"Centro";49;0,00637937768519724
"40";"[25,30)";"Centro";52;0,00676995182918891
"41";"[30,35)";"Centro";78;0,0101549277437834
"42";"[35,40)";"Centro";128;0,0166644968103112
"43";"[40,45)";"Centro";159;0,0207004296315584
"44";"[45,50)";"Centro";282;0,0367139695352168
"45";"[50,55)";"Centro";285;0,0371045436792084
"46";"[55,60)";"Centro";427;0,0555917198281474
"47";"[60,65)";"Centro";523;0,0680900924358807
"48";"[65,70)";"Centro";605;0,0787657857049863
"49";"[70,75)";"Centro";687;0,0894414789740919
"50";"[75,80)";"Centro";881;0,11469860695222
"51";"[80,150)";"Centro";3468;0,451503710454368
"52";"[0,5)";"LVT";208;0,0105992662046474
"53";"[5,10)";"LVT";59;0,00300652262535671
"54";"[10,15)";"LVT";66;0,00336322869955157
"55";"[15,20)";"LVT";107;0,00545250713412148
"56";"[20,25)";"LVT";263;0,013401956787607
"57";"[25,30)";"LVT";385;0,0196188340807175
"58";"[30,35)";"LVT";475;0,0242050550346514
"59";"[35,40)";"LVT";479;0,0244088870770485
"60";"[40,45)";"LVT";619;0,0315430085609458
"61";"[45,50)";"LVT";744;0,0379127598858541
"62";"[50,55)";"LVT";900;0,0458622095393396
"63";"[55,60)";"LVT";1168;0,0595189563799429
"64";"[60,65)";"LVT";1433;0,0730228291887485
"65";"[65,70)";"LVT";1705;0,0868834080717489
"66";"[70,75)";"LVT";1849;0,0942213615980432
"67";"[75,80)";"LVT";2168;0,110476966979209
"68";"[80,150)";"LVT";6996;0,356502242152466
"69";"[0,5)";"Norte";116;0,00626586722843407
"70";"[5,10)";"Norte";30;0,00162048290390536
"71";"[10,15)";"Norte";39;0,00210662777507697
"72";"[15,20)";"Norte";86;0,00464538432452871
"73";"[20,25)";"Norte";133;0,00718414087398045
"74";"[25,30)";"Norte";246;0,013287959812024
"75";"[30,35)";"Norte";263;0,0142062334575704
"76";"[35,40)";"Norte";321;0,0173391670717874
"77";"[40,45)";"Norte";451;0,0243612596553773
"78";"[45,50)";"Norte";605;0,0326797385620915
"79";"[50,55)";"Norte";828;0,044725328147788
"80";"[55,60)";"Norte";1058;0,0571490304110625
"81";"[60,65)";"Norte";1328;0,0717333765462108
"82";"[65,70)";"Norte";1617;0,0873440285204991
"83";"[70,75)";"Norte";1945;0,105061308269864
"84";"[75,80)";"Norte";2251;0,121590233889699
"85";"[80,150)";"Norte";7196;0,3886998325501
