"";"Group";"Region";"Deceased";"Entries";"Perc"
"1";"[0,5)";"Alentejo";0;1;0
"2";"[0,5)";"Algarve";0;2;0
"3";"[0,5)";"Centro";0;19;0
"4";"[0,5)";"LVT";1;208;0,00480769230769231
"5";"[0,5)";"Norte";0;116;0
"6";"[10,15)";"Alentejo";0;0;NA
"7";"[10,15)";"Algarve";0;4;0
"8";"[10,15)";"Centro";0;5;0
"9";"[10,15)";"LVT";0;66;0
"10";"[10,15)";"Norte";0;39;0
"11";"[15,20)";"Alentejo";0;6;0
"12";"[15,20)";"Algarve";0;5;0
"13";"[15,20)";"Centro";0;27;0
"14";"[15,20)";"LVT";1;107;0,00934579439252336
"15";"[15,20)";"Norte";0;86;0
"16";"[20,25)";"Alentejo";0;17;0
"17";"[20,25)";"Algarve";0;9;0
"18";"[20,25)";"Centro";0;49;0
"19";"[20,25)";"LVT";1;263;0,00380228136882129
"20";"[20,25)";"Norte";0;133;0
"21";"[25,30)";"Alentejo";0;26;0
"22";"[25,30)";"Algarve";0;25;0
"23";"[25,30)";"Centro";0;52;0
"24";"[25,30)";"LVT";2;385;0,00519480519480519
"25";"[25,30)";"Norte";3;246;0,0121951219512195
"26";"[30,35)";"Alentejo";0;22;0
"27";"[30,35)";"Algarve";0;23;0
"28";"[30,35)";"Centro";1;78;0,0128205128205128
"29";"[30,35)";"LVT";5;475;0,0105263157894737
"30";"[30,35)";"Norte";2;263;0,00760456273764259
"31";"[35,40)";"Alentejo";0;21;0
"32";"[35,40)";"Algarve";0;36;0
"33";"[35,40)";"Centro";1;128;0,0078125
"34";"[35,40)";"LVT";11;479;0,022964509394572
"35";"[35,40)";"Norte";5;321;0,0155763239875389
"36";"[40,45)";"Alentejo";0;38;0
"37";"[40,45)";"Algarve";1;34;0,0294117647058824
"38";"[40,45)";"Centro";3;159;0,0188679245283019
"39";"[40,45)";"LVT";16;619;0,0258481421647819
"40";"[40,45)";"Norte";8;451;0,0177383592017738
"41";"[45,50)";"Alentejo";4;46;0,0869565217391304
"42";"[45,50)";"Algarve";1;48;0,0208333333333333
"43";"[45,50)";"Centro";12;282;0,0425531914893617
"44";"[45,50)";"LVT";31;744;0,0416666666666667
"45";"[45,50)";"Norte";20;605;0,0330578512396694
"46";"[5,10)";"Alentejo";0;1;0
"47";"[5,10)";"Algarve";0;1;0
"48";"[5,10)";"Centro";0;6;0
"49";"[5,10)";"LVT";0;59;0
"50";"[5,10)";"Norte";0;30;0
"51";"[50,55)";"Alentejo";3;60;0,05
"52";"[50,55)";"Algarve";0;52;0
"53";"[50,55)";"Centro";16;285;0,056140350877193
"54";"[50,55)";"LVT";42;900;0,0466666666666667
"55";"[50,55)";"Norte";31;828;0,03743961352657
"56";"[55,60)";"Alentejo";2;78;0,0256410256410256
"57";"[55,60)";"Algarve";3;78;0,0384615384615385
"58";"[55,60)";"Centro";25;427;0,0585480093676815
"59";"[55,60)";"LVT";74;1168;0,0633561643835616
"60";"[55,60)";"Norte";58;1058;0,054820415879017
"61";"[60,65)";"Alentejo";12;123;0,0975609756097561
"62";"[60,65)";"Algarve";4;90;0,0444444444444444
"63";"[60,65)";"Centro";53;523;0,101338432122371
"64";"[60,65)";"LVT";108;1433;0,0753663642707606
"65";"[60,65)";"Norte";110;1328;0,0828313253012048
"66";"[65,70)";"Alentejo";15;116;0,129310344827586
"67";"[65,70)";"Algarve";7;99;0,0707070707070707
"68";"[65,70)";"Centro";86;605;0,142148760330579
"69";"[65,70)";"LVT";225;1705;0,131964809384164
"70";"[65,70)";"Norte";172;1617;0,106369820655535
"71";"[70,75)";"Alentejo";28;137;0,204379562043796
"72";"[70,75)";"Algarve";17;93;0,182795698924731
"73";"[70,75)";"Centro";141;687;0,205240174672489
"74";"[70,75)";"LVT";372;1849;0,201189832341806
"75";"[70,75)";"Norte";266;1945;0,136760925449871
"76";"[75,80)";"Alentejo";63;185;0,340540540540541
"77";"[75,80)";"Algarve";33;110;0,3
"78";"[75,80)";"Centro";249;881;0,282633371169126
"79";"[75,80)";"LVT";637;2168;0,293819188191882
"80";"[75,80)";"Norte";490;2251;0,217681030653043
"81";"[80,150)";"Alentejo";429;829;0,517490952955368
"82";"[80,150)";"Algarve";207;480;0,43125
"83";"[80,150)";"Centro";1473;3468;0,424740484429066
"84";"[80,150)";"LVT";2907;6996;0,415523156089194
"85";"[80,150)";"Norte";2524;7196;0,350750416898277
