"";"Region";"Gender";"Deceased";"Entries";"Perc"
"1";"Alentejo";"Feminine";18;76;0,236842105263158
"2";"Alentejo";"Masculine";68;180;0,377777777777778
"3";"Algarve";"Feminine";25;64;0,390625
"4";"Algarve";"Masculine";77;179;0,430167597765363
"5";"Centro";"Feminine";61;174;0,350574712643678
"6";"Centro";"Masculine";171;425;0,402352941176471
"7";"LVT";"Feminine";258;763;0,338138925294889
"8";"LVT";"Masculine";587;1643;0,357273280584297
"9";"Norte";"Feminine";214;799;0,267834793491865
"10";"Norte";"Masculine";482;1669;0,288795686039545
