"";"Region";"Gender";"Entries";"Perc"
"1";"Alentejo";"Feminine";911;0,0382773109243697
"2";"Algarve";"Feminine";562;0,0236134453781513
"3";"Centro";"Feminine";3791;0,159285714285714
"4";"LVT";"Feminine";9558;0,401596638655462
"5";"Norte";"Feminine";8978;0,377226890756303
"6";"Alentejo";"Masculine";795;0,0319110504555854
"7";"Algarve";"Masculine";627;0,0251675831894995
"8";"Centro";"Masculine";3890;0,156143378958777
"9";"LVT";"Masculine";10066;0,404046080359652
"10";"Norte";"Masculine";9535;0,382731907036487
