"";"Region";"Gender";"Deceased";"Entries";"Perc"
"1";"Alentejo";"Feminine";300;911;0,329308452250274
"2";"Alentejo";"Masculine";256;795;0,322012578616352
"3";"Algarve";"Feminine";143;562;0,254448398576512
"4";"Algarve";"Masculine";130;627;0,207336523125997
"5";"Centro";"Feminine";953;3791;0,251384858876286
"6";"Centro";"Masculine";1107;3890;0,284575835475578
"7";"LVT";"Feminine";2081;9558;0,217723373090605
"8";"LVT";"Masculine";2352;10066;0,2336578581363
"9";"Norte";"Feminine";1746;8978;0,194475384272667
"10";"Norte";"Masculine";1943;9535;0,203775563712638
