"";"Region";"Type";"Deceased";"Entries";"Perc"
"1";"Alentejo";"ICU";86;256;0,3359375
"2";"Alentejo";"nonICU";556;1706;0,325908558030481
"3";"Algarve";"ICU";102;243;0,419753086419753
"4";"Algarve";"nonICU";273;1189;0,229604709840202
"5";"Centro";"ICU";232;599;0,387312186978297
"6";"Centro";"nonICU";2060;7681;0,268194245540945
"7";"LVT";"ICU";845;2406;0,35120532003325
"8";"LVT";"nonICU";4433;19624;0,225896860986547
"9";"Norte";"ICU";696;2468;0,282009724473258
"10";"Norte";"nonICU";3689;18513;0,199265381083563
